,Talotyyppi,m2,Vh,em2,Rv,Krs,Hissi,Kunto,Tontti,postcode,X,Y,PA,Asukkaat,vaestontiheys
184,kt,13850,1040000,7509,1890,2/4,on,hyvä,oma,130,386228,6671492,428960,1508,0.003515479298769116
185,kt,3400,306000,9000,1907,3/6,ei,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
186,kt,3600,334000,9278,1927,2/3,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
187,kt,3840,315000,8203,1907,4/4,ei,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
188,kt,4250,401000,9435,1913,4/6,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
189,kt,4700,325000,6915,1933,3/4,on,huono,oma,140,386410,6670742,931841,7865,0.008440281120920844
190,kt,2900,299000,10310,1908,4/4,ei,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
191,kt,4320,370000,8565,1907,3/5,ei,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
192,kt,5000,417700,8354,1933,3/6,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
193,kt,5800,520000,8966,1929,6/7,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
194,kt,4300,365000,8488,1928,2/8,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
195,kt,4100,327000,7976,1937,3/6,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
196,kt,5400,410000,7593,1961,4/7,on,huono,oma,140,386410,6670742,931841,7865,0.008440281120920844
197,kt,5650,550000,9735,1978,4/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
198,kt,5400,520000,9630,1938,3/4,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
199,kt,6800,430000,6324,1941,3/4,on,huono,oma,140,386410,6670742,931841,7865,0.008440281120920844
200,kt,5650,568000,10053,1978,3/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
201,kt,5000,440000,8800,1929,4/4,ei,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
202,kt,6400,750000,11719,1934,1/4,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
203,kt,7050,615100,8725,1911,5/5,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
204,kt,3600,375000,10417,1963,6/8,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
205,kt,4800,400000,8333,1973,2/6,ei,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
206,kt,5800,562000,9690,1906,3/3,ei,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
207,kt,8250,800000,9697,1911,3/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
208,kt,3600,357000,9917,1963,3/8,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
209,kt,3800,385000,10132,1964,3/6,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
210,kt,6450,590000,9147,1927,2/4,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
211,kt,4400,455000,10341,1907,4/5,ei,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
212,kt,4600,401500,8728,1963,5/6,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
213,kt,5000,465000,9300,1963,4/7,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
214,kt,5400,375000,6944,1928,1/4,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
215,kt,5600,565000,10089,1961,6/6,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
216,kt,5750,513000,8922,1915,1/7,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
217,kt,4800,495012,10313,1910,6/8,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
218,kt,10700,1300000,12150,1918,1/4,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
219,kt,7290,880000,12071,1978,6/6,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
220,kt,10300,830000,8058,1926,3/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
221,kt,7300,621000,8507,1941,4/4,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
222,kt,8000,775000,9688,1962,4/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
223,kt,11200,952000,8500,1928,4/6,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
224,kt,8700,870000,10000,1905,4/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
225,kt,15600,1090000,6987,1908,2/4,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
226,kt,7100,620000,8732,1961,7/7,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
227,kt,8500,710000,8353,1909,2/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
228,kt,11600,1151000,9922,1912,6/6,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
229,kt,20000,1340000,6700,1929,2/8,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
230,kt,14850,1300000,8754,1962,2/9,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
231,kt,12200,1050000,8607,1908,2/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
232,kt,13900,1375000,9892,1897,2/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
233,kt,13900,1270000,9137,1905,3/5,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
234,kt,11100,987500,8896,1907,2/4,ei,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
235,kt,14400,1548000,10750,1905,4/5,on,hyvä,oma,140,386410,6670742,931841,7865,0.008440281120920844
236,kt,10000,1050000,10500,1939,2/4,on,tyyd.,oma,140,386410,6670742,931841,7865,0.008440281120920844
237,kt,3060,292000,9542,1957,5/5,on,hyvä,oma,150,385235,6670549,1367328,9496,0.006944932013386693
238,kt,4000,312000,7800,1938,3/5,on,hyvä,oma,150,385235,6670549,1367328,9496,0.006944932013386693
239,kt,3200,279000,8719,1962,5/5,on,hyvä,oma,150,385235,6670549,1367328,9496,0.006944932013386693
